"","airline","avail_seat_km_per_week","incidents_85_99","fatal_accidents_85_99","fatalities_85_99","incidents_00_14","fatal_accidents_00_14","fatalities_00_14"
"1","Lufthansa*",3426529504,6,1,2,3,0,0
"2","Delta / Northwest*",6525658894,24,12,407,24,2,51
"3","Cathay Pacific*",2582459303,0,0,0,2,0,0
"4","Air New Zealand*",710174817,3,0,0,5,1,7
"5","US Airways / America West*",2455687887,16,7,224,11,2,23
"6","United / Continental*",7139291291,19,8,319,14,2,109
"7","Air Canada",1865253802,2,0,0,2,0,0
"8","Finnair",506464950,1,0,0,0,0,0
"9","Austrian Airlines",358239823,1,0,0,1,0,0
"10","All Nippon Airways",1841234177,3,1,1,7,0,0
"11","Aer Lingus",320906734,2,0,0,0,0,0
"12","COPA",550491507,3,1,47,0,0,0
"13","Singapore Airlines",2376857805,2,2,6,2,1,83
"14","Vietnam Airlines",625084918,7,3,171,1,0,0
"15","Virgin Atlantic",1005248585,1,0,0,0,0,0
